N ,P,K,SHumidity,STempearture,AHumidity,ATempearture,PH,Rainfall,Label
4.852387,72.446663,49.117146,13.142929,22.577364,30.33963,26.695419,6.477673,36.015324,lentil
2.964525,70.810921,29.130812,12.745728,21.885624,39.487675,28.394981,6.479703,38.029263,lentil
1.286371,67.208282,48.067886,13.702716,18.679491,34.374786,23.219433,6.254658,37.857845,lentil
7.636806,65.150826,29.224428,13.980142,19.203838,35.786747,25.869177,6.265981,37.742542,lentil
2.849325,64.880699,27.242851,13.129859,27.629967,35.469742,24.169214,6.306108,35.026047,lentil
1.111568,73.523216,32.009857,13.716434,22.135714,38.346397,26.282736,6.107964,36.942333,lentil
3.305488,78.1315,32.505016,13.089373,21.15321,36.890297,22.230989,6.493323,38.487808,lentil
4.573867,70.444252,43.252567,12.949772,29.249193,35.940346,21.349709,6.481912,37.873497,lentil
6.557773,71.726662,35.009727,13.561558,28.648493,31.033268,18.808016,6.250542,37.427456,lentil
7.199034,61.632534,32.563213,13.200047,20.550682,39.473179,23.486092,6.231175,38.856136,lentil
2.407549,65.26355,35.309982,12.885538,19.35313,33.890167,25.334234,6.074609,36.138268,lentil
1.429831,79.838135,31.139957,13.98496,29.758509,37.703224,23.962502,6.276806,35.933243,lentil
5.197036,67.855385,29.394873,12.787617,26.867241,39.35384,20.241692,6.361132,38.761356,lentil
4.801312,79.25029,48.620407,13.295639,28.529869,35.107937,21.462875,6.142407,38.868919,lentil
8.171112,70.530701,36.432999,12.875876,20.563253,32.833244,23.175297,6.376244,39.768909,lentil
6.727334,68.740761,37.866207,12.161898,23.290857,36.7332,19.096851,6.096368,39.402599,lentil
9.850458,69.497116,44.035172,13.76224,20.327278,32.447247,24.178675,6.187195,37.521465,lentil
3.021085,69.73172,38.672775,13.517841,21.144958,39.545273,27.558062,6.035911,37.107494,lentil
4.951893,69.591301,25.388029,12.42547,25.524632,35.831917,19.491211,6.482207,36.121571,lentil
6.149369,79.785309,43.105751,12.991595,29.729698,37.653046,23.894108,6.027144,35.960899,lentil
2.432925,76.75135,30.484585,12.973654,18.149086,31.741495,18.006378,6.288721,39.41494,lentil
3.721922,62.818474,46.277634,12.521503,22.759352,32.852619,21.109171,6.477829,38.351772,lentil
8.307201,73.718559,37.222359,13.212052,20.288719,39.536991,21.086704,6.28305,39.402847,lentil
8.770384,74.010529,34.898361,12.128521,23.151737,38.350571,26.667387,6.363574,39.418526,lentil
3.107898,60.620342,44.123413,12.713371,24.308727,36.381699,27.35289,6.205255,38.833721,lentil
4.589344,66.557625,49.395691,12.767767,24.760229,35.737961,18.441284,6.463472,38.036736,lentil
9.185849,64.879982,43.577168,12.309187,24.029257,37.994663,23.072256,6.13353,38.389942,lentil
2.761664,79.415886,33.57859,12.760834,20.448414,38.766708,27.580029,6.342414,37.272697,lentil
7.046695,66.390381,43.89518,12.839272,20.933064,38.276978,20.07513,6.226839,38.219994,lentil
0.376858,64.7229,41.895332,12.078907,22.139521,35.385159,21.341326,6.47035,38.623055,lentil
8.450945,62.419125,33.289486,12.784465,22.957052,38.93187,25.844641,6.474291,36.729851,lentil
1.899082,78.837044,43.012325,13.982202,25.510426,38.616608,28.770548,6.204512,39.235313,lentil
3.341383,75.533821,46.026142,12.824635,26.025145,34.872833,20.736305,6.450053,36.652317,lentil
9.737315,69.627411,31.35737,12.487181,23.636543,33.306656,20.064074,6.228949,39.587696,lentil
9.535888,63.987873,47.236752,13.962343,26.714264,34.403355,25.639725,6.470493,36.977859,lentil
6.190708,60.41452,48.268993,13.954494,23.655111,30.342575,26.905519,6.256161,36.678364,lentil
0.848883,63.150623,38.367229,12.203616,27.772257,31.653053,28.346809,6.336913,36.530029,lentil
2.841375,62.11937,29.74177,13.051715,29.867476,31.293652,18.870714,6.463817,35.465668,lentil
0.764575,70.858772,41.521561,12.904265,22.904305,36.282917,19.255228,6.238073,39.551857,lentil
7.406655,74.877289,48.376953,13.765174,26.42075,32.686321,18.154825,6.087455,38.957485,lentil
0.040409,63.751904,37.304981,12.251761,20.418156,30.76683,24.356806,6.194993,39.321804,lentil
3.172123,76.122314,26.831541,13.789804,24.257435,30.173084,26.589462,6.312682,35.690125,lentil
8.836487,74.715416,29.516912,13.750134,26.17926,30.389545,24.117329,6.364261,39.890724,lentil
5.237445,71.607292,41.699852,13.039378,29.285397,30.12067,26.598497,6.056125,38.08316,lentil
7.973436,75.372604,25.451948,13.085443,22.787304,35.281021,19.052338,6.45509,39.559048,lentil
7.007598,65.246117,40.949913,12.62601,28.742512,33.22279,18.292625,6.240505,39.659634,lentil
1.964779,60.348053,29.566061,13.201276,22.576254,36.85387,27.695347,6.152493,37.48576,lentil
7.823895,64.869728,44.487122,12.847683,25.114582,37.728264,25.23101,6.142284,37.080509,lentil
0.028683,74.977844,29.622684,12.143851,19.88747,32.768063,27.850689,6.276415,36.767128,lentil
6.916673,69.939354,29.95409,13.626746,18.100885,32.685787,18.18656,6.134699,38.60733,lentil
3.973264,64.655037,37.592876,13.839278,24.84428,35.38131,20.125118,6.169428,38.041409,lentil
2.461609,71.729187,35.107269,13.117451,20.036556,34.50956,27.857067,6.065136,36.182068,lentil
0.638595,72.757828,26.231722,12.14825,22.860237,35.538406,21.295731,6.112528,36.959103,lentil
2.280465,78.373596,49.815235,13.051331,27.132999,34.918301,23.211823,6.452478,37.444256,lentil
1.231993,65.739716,45.00563,13.245972,25.188295,32.860126,25.524452,6.42871,35.600594,lentil
3.746493,73.378174,45.355133,12.861621,29.168964,31.920103,19.648623,6.317783,35.792824,lentil
6.869808,64.931221,49.210926,13.819098,21.893229,30.656263,23.653107,6.41595,35.480991,lentil
0.417842,70.619698,38.582794,13.555159,19.217552,30.85479,19.596708,6.06224,38.990536,lentil
6.508158,72.79406,28.933725,13.622456,19.617378,30.68681,18.228649,6.160197,38.065521,lentil
3.916503,71.321602,43.106106,12.65837,24.82629,38.933239,25.728235,6.142789,38.700985,lentil
0.7947,75.342598,30.478127,13.634065,23.357073,36.239952,22.938034,6.032589,37.61359,lentil
4.959103,75.213181,37.223209,12.40692,24.574432,39.618679,26.07329,6.134488,39.795368,lentil
5.815586,70.158646,36.118431,12.640572,20.336716,37.549847,25.498783,6.347301,37.936302,lentil
4.136082,70.876419,26.504267,12.4587,19.382217,31.112785,25.674339,6.482642,39.265907,lentil
4.696418,64.840591,43.580582,12.894101,18.210974,32.925335,28.137363,6.363437,39.383064,lentil
5.351474,74.146515,33.355186,12.602915,29.05098,31.953199,22.138508,6.317795,39.914158,lentil
0.32679,71.290939,49.773262,12.413194,25.037331,31.45536,23.579859,6.238803,35.944271,lentil
5.545301,67.991211,31.947811,13.097717,27.983231,34.578388,27.484173,6.20035,35.913094,lentil
8.192849,76.265892,38.096954,13.65463,28.918457,33.246853,23.009222,6.281611,35.379829,lentil
1.091365,62.149712,41.294823,13.317459,29.941635,37.738277,24.835087,6.476877,35.496128,lentil
2.951957,62.8685,30.324764,12.862891,24.40398,37.264706,27.639,6.287805,39.870579,lentil
8.233259,60.017796,25.401936,13.906391,19.336613,34.013683,18.366028,6.476604,39.701633,lentil
4.263489,78.272034,43.126362,13.107263,24.19907,37.911362,22.424549,6.289558,36.186256,lentil
1.788443,77.583916,34.841679,12.613025,20.583239,37.654251,22.756327,6.152066,39.761303,lentil
3.470704,71.625084,42.101788,12.945769,18.622009,34.134354,26.964523,6.032729,37.78479,lentil
2.236924,73.644638,43.578308,12.192706,28.986374,33.192383,23.476887,6.244648,35.7453,lentil
8.796041,62.830032,25.791588,13.239035,19.32575,30.877043,23.048952,6.39257,39.420937,lentil
5.435483,71.973137,46.667847,12.147045,23.198263,30.988226,25.659872,6.185221,35.27055,lentil
0.060819,78.514359,38.06543,13.040389,24.100956,30.920649,19.707897,6.386932,37.825813,lentil
8.824724,77.807877,30.414272,13.382885,21.213221,33.645107,21.899639,6.168986,36.188065,lentil
